timestamp,count_active_player
1699045283000,4953
1699048870000,4788
1699052481000,4760
1699056072000,4656
1699059745000,5590
1699063241000,6873
1699066888000,8372
1699070455000,8968
1699074092000,8719
1699077683000,8565
1699081267000,8332
1699084850000,8026
1699088499000,7497
1699092072000,6841
1699095658000,7179
1699099286000,8947
1699102909000,11342
1699106479000,13360
1699110042000,13605
1699113675000,11974
1699117284000,9321
1699120897000,7409
1699124512000,6189
1699128060000,5869
1699131713000,5651
1699135317000,5516
1699138901000,5089
1699142491000,5146
1699146077000,5618
1699149722000,6664
1699153264000,7958
1699156918000,8724
1699160462000,9078
1699164113000,9225
1699167714000,8937
1699171267000,8816
1699174858000,8091
1699178454000,7297
1699182071000,7472
1699185638000,9268
1699189260000,11632
1699192907000,12966
1699196503000,12243
1699200112000,9427
1699203713000,6925
1699207315000,5704
1699210912000,5001
1699214531000,5162
1699218137000,5184
1699221720000,4829
1699225311000,4497
1699228914000,4504
1699232498000,4893
1699236093000,5543
1699239782000,6226
1699243300000,6219
1699246921000,6017
1699250584000,5220
1699254093000,4464
1699257704000,4190
1699261253000,4292
1699264888000,4281
1699268496000,4908
1699272086000,6542
1699275667000,8972
1699279304000,10605
1699282843000,10043
1699286440000,7368
1699290057000,5204
1699293709000,3940
1699297272000,3459
1699300861000,3566
1699304506000,3365
1699308092000,3254
1699311659000,2924
1699315247000,3023
1699318860000,3609
1699322504000,4371
1699326142000,5231
1699329652000,5089
1699333293000,5394
1699336864000,4661
1699340467000,4016
1699344041000,3900
1699347649000,3919
1699351302000,3855
1699354838000,4434
1699358503000,6031
1699362065000,8107
1699365696000,9686
1699369245000,9341
1699372879000,6663
1699376462000,4641
1699380067000,3827
1699383638000,3344
1699387252000,3209
1699390875000,3198
1699394482000,2941
1699398070000,2834
1699401722000,2864
1699405301000,3511
1699408958000,4355
1699412525000,4719
1699416092000,4718
1699419673000,4901
1699423269000,4453
1699426853000,3956
1699430467000,3757
1699434152000,3530
1699437669000,3544
1699441264000,3973
1699444871000,5240
1699448463000,7477
1699452080000,9142
1699455651000,8845
1699459267000,6435
1699462858000,4547
1699466458000,3803
1699470059000,3454
1699473660000,3286
1699477243000,3115
1699480873000,2837
1699484429000,2709
1699488035000,2723
1699491781000,3242
1699495340000,3888
1699498949000,4660
1699502583000,4725
1699506020000,4803
1699509713000,4175
1699513271000,3840
1699516866000,3619
1699520469000,3482
1699524104000,3542
1699527661000,3981
1699531290000,5369
1699534914000,7134
1699538460000,8553
1699542059000,8446
1699545664000,6239
1699549245000,4364
1699552856000,3546
1699556497000,3151
1699560091000,3026
1699563665000,3090
1699567272000,2759
1699570853000,2499
1699574477000,2508
1699578158000,3012
1699581765000,3629
1699585318000,4444
1699588951000,4893
1699592480000,4875
1699596059000,4247
1699599671000,3911
1699603303000,3755
1699606841000,3762
1699610521000,3642
1699614088000,4140
1699617696000,5591
1699621313000,7444
1699624907000,9121
1699628451000,9433
1699632041000,7657
1699635629000,5877
1699639265000,4619
1699642859000,4021
1699646523000,3878
1699650137000,3816
1699653678000,3717
1699657270000,3500
1699660924000,3436
1699664531000,3790
1699668060000,4749
1699671723000,5584
1699675327000,6163
1699678922000,6619
1699682487000,6663
1699686041000,6647
1699689640000,6292
1699693245000,5541
1699696853000,5222
1699700437000,5291
1699704065000,6281
1699707641000,8005
1699711314000,9547
1699714886000,9778
1699718461000,8319
1699722100000,6829
1699725711000,5409
1699729265000,4629
1699732921000,3251
1699736519000,4340
1699740117000,4165
1699743688000,3794
1699747391000,3617
1699750918000,3810
1699754481000,4590
1699758077000,5550
1699761777000,6201
1699765306000,6567
1699768883000,6981
1699772471000,6967
1699776080000,6723
1699779678000,6063
1699783283000,5338
1699786911000,5318
1699790511000,6516
1699794109000,8205
1699797664000,9486
1699801264000,8731
1699804887000,6652
1699808518000,5010
1699812242000,3989
1699815719000,3874
1699819320000,4021
1699822919000,3912
1699826518000,3748
1699830120000,3261
1699833667000,3024
